DATA_LANCAMENTO_OBRA,TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,CPB_ROE,PUBLICO_TOTAL,RENDA_TOTAL,RAZAO_SOCIAL_DISTRIBUIDORA,REGISTRO_DISTRIBUIDORA,CNPJ_DISTRIBUIDORA
2017-01-19,MANCHESTER BY THE SEA,FICÇÃO,ESTADOS UNIDOS,E1600573600000,105869.0,1868288.5,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
2017-01-19,XXX: RETURN OF XANDER CAGE,FICÇÃO,ESTADOS UNIDOS,E1600757200000,1298025.0,19757403.0,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,169.0,27.654.722/0001-16
2017-01-12,ASSASSIN'S CREED,FICÇÃO,FRANÇA,E1600517900000,2058767.0,32815015.0,FOX FILM DO BRASIL LTDA,256.0,33.110.420/0001-80
2017-01-12,AH-GA-SSI,FICÇÃO,CORÉIA DO SUL,E1600763400000,39623.0,564921.02,MARES FILMES EIRELI,6418.0,07.257.887/0001-47
2017-01-12,À PEINE J'OUVRE LES YEUX,FICÇÃO,FRANÇA,E1600774400000,5224.0,71558.09,OMF SERVICOS & CONSULTORIA LTDA,28508.0,21.437.756/0001-72
2017-01-12,BWAKAW,FICÇÃO,FILIPINAS,E1600133300000,290.0,3522.0,MOSTRA INTERNACIONAL DE CINEMA LTDA,1797.0,52.009.305/0001-68
2017-01-12,THE MAN WHO FELL TO EARTH,FICÇÃO,REINO UNIDO,E1600736600000,4741.0,52594.0,ZETA FILMES LTDA,22936.0,02.469.679/0001-98
2017-01-12,EU FICO LOKO,FICÇÃO,BRASIL,B1600789900000,559431.0,6848306.92,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2017-01-05,"I, DANIEL BLAKE",FICÇÃO,BÉLGICA,E1600489200000,106223.0,1587011.3,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,173.0,03.599.148/0001-82
2017-01-05,A MONSTER CALLS,FICÇÃO,ESPANHA,E1600459600000,18633.0,313134.35,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2017-01-05,THE SALESMAN,FICÇÃO,FRANÇA,E1600736500000,45754.0,623376.18,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,12443.0,08.656.129/0001-64
2017-01-05,PASSENGERS,FICÇÃO,ESTADOS UNIDOS,E1500750300000,1427918.0,23681168.78,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
2017-01-05,INCARNATE,FICÇÃO,ESTADOS UNIDOS,E1600749600000,142059.0,2058475.05,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,443.0,00.943.231/0001-39
2017-01-05,MOANA,ANIMAÇÃO,ESTADOS UNIDOS,E1600655200000,5150074.0,71615695.52,THE WALT DISNEY COMPANY (BRASIL) LTDA.,18398.0,73.042.962/0001-87
2016-12-29,VOLTA Á TERRA,DOCUMENTÁRIO,PORTUGAL,E1700085700000,7.0,84.0,P & M DISTRIBUIDORA DE FILMES LTDA,31931.0,22.910.081/0001-08
2016-12-29,ZJEDNOCZONE STANY MILOSCI,FICÇÃO,POLÔNIA,E1600489400000,8367.0,116127.04,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,173.0,03.599.148/0001-82
2016-12-29,AS MIL E UMA NOITES -  VOLUME 3 O ENCANTADO,FICÇÃO,ALEMANHA,E1600794200000,278.0,2929.5,P & M DISTRIBUIDORA DE FILMES LTDA,31931.0,22.910.081/0001-08
2016-12-29,AS MIL E UMA NOITES -  VOLUME 2 O DESOLADO,FICÇÃO,ALEMANHA,E1600794100000,529.0,6051.0,P & M DISTRIBUIDORA DE FILMES LTDA,31931.0,22.910.081/0001-08
2016-12-29,JOHN FROM,FICÇÃO,FRANÇA,E1700035700000,558.0,5223.0,P & M DISTRIBUIDORA DE FILMES LTDA,31931.0,22.910.081/0001-08
2016-12-29,NOCTURNAL ANIMALS,FICÇÃO,ESTADOS UNIDOS,E1600499700000,108485.0,1973035.0,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
2016-12-29,TRAIN TO BUSAN,FICÇÃO,CORÉIA DO SUL,E1600677200000,424824.0,5338013.63,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2016-12-22,CAPTAIN FANTASTIC,FICÇÃO,ESTADOS UNIDOS,E1600496400000,101876.0,1760780.6,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,33787.0,24.810.280/0001-61
2016-12-22,LA DERNIÈRE LEÇON,FICÇÃO,FRANÇA,E1600745700000,4650.0,57080.32,ESFERA PRODUÇÕES CULTURAIS EIRELI,18039.0,11.579.388/0001-43
2016-12-22,FAI BEI SOGNI,FICÇÃO,FRANÇA,E1600711700000,13843.0,180391.79,MARES FILMES EIRELI,6418.0,07.257.887/0001-47
2016-12-22,L'AVENIR,FICÇÃO,ALEMANHA,E1600674200000,22714.0,311400.69,ZETA FILMES LTDA,22936.0,02.469.679/0001-98
2016-12-22,THE WAILING,FICÇÃO,CORÉIA DO SUL,E1600723600000,673.0,9281.66,ANTONIO FERNANDES FILMES LTDA,532.0,02.668.665/0001-01
